_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
{'$oid': '5ff473e40a7214ada10005cc'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1609855972000},{'$date': 1609855972000},{'$date': 1609855973000},{'$date': 1609855973000},{'$date': 1609855973000},50.0,{'$date': 1609769572000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5ff4ce3c0a720f05230005c4'},,,{'$date': 1609879100000},{'$date': 1609879100000},,{'$date': 1609879100000},,,,0.0,FLAGGED,0.0,5ff4ce3cc1e2d0121a9b2fba
{'$oid': '5ff473d00a720f05230005bb'},5.0,All-receipts receipt bonus,{'$date': 1609855952000},{'$date': 1609855952000},{'$date': 1609855952000},{'$date': 1609855952000},{'$date': 1609855952000},55.0,{'$date': 1609855952000},1.0,FINISHED,0.99,5ff47392c3d63511e2a47881
{'$oid': '5ff473b20a720f05230005b7'},5.0,All-receipts receipt bonus,{'$date': 1609855922000},{'$date': 1609855922000},{'$date': 1609855923000},{'$date': 1609855923000},{'$date': 1609855923000},5.0,{'$date': 1608876000000},5.0,FINISHED,49.95,5ff47392c3d63511e2a47881
{'$oid': '5ff473ad0a7214ada10005c3'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1609855917000},{'$date': 1609855917000},{'$date': 1609855917000},{'$date': 1609855917000},{'$date': 1609855917000},50.0,{'$date': 1609769517000},1.0,FINISHED,1.0,5ff47392c3d63511e2a47881
{'$oid': '5ff4ce640a7214ada10005e0'},25.0,COMPLETE_NONPARTNER_RECEIPT,{'$date': 1609879140000},{'$date': 1609879140000},{'$date': 1609879140000},{'$date': 1609879140000},{'$date': 1609879140000},25.0,{'$date': 1612557540000},1.0,FINISHED,1.0,5ff4ce33c3d63511e2a484b6
{'$oid': '5ff4ce3f0a720f05230005c6'},300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609879103000},{'$date': 1609879103000},{'$date': 1609879104000},{'$date': 1609879108000},{'$date': 1609879104000},300.0,{'$date': 1609804800000},2.0,FINISHED,29.0,5ff4ce3dc3d63511e2a484dc
{'$oid': '5ff4ce4e0a7214ada10005da'},500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609879118000},{'$date': 1609879118000},{'$date': 1609879124000},{'$date': 1609879124000},{'$date': 1609879118000},500.0,{'$date': 1609792718000},2.0,FINISHED,1.0,5ff4ce33c3d63511e2a484b6
{'$oid': '5ff473bc0a720f05230005b8'},,,{'$date': 1609855932000},{'$date': 1609855932000},{'$date': 1609855933000},{'$date': 1609855933000},{'$date': 1609855933000},91.2,{'$date': 1609769532000},4.0,FINISHED,18.2,5ff47392c3d63511e2a47881
{'$oid': '5ff4a80e0a720f05230005c2'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609869326000},{'$date': 1609869326000},{'$date': 1609869329000},{'$date': 1609869329000},{'$date': 1609869329000},750.0,{'$date': 1609286400000},2.0,FINISHED,34.96,5fbc35711d967d1222cbfefc
{'$oid': '5ff5d1da0a7214ada10005f8'},5.0,All-receipts receipt bonus,{'$date': 1609945562000},{'$date': 1609945562000},{'$date': 1609945563000},{'$date': 1609945563000},{'$date': 1609945563000},5.0,{'$date': 1608563162000},1.0,FINISHED,1.0,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1d40a7214ada10005f4'},300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609945556000},{'$date': 1609945556000},{'$date': 1609945557000},{'$date': 1609945557000},{'$date': 1609945557000},825.0,{'$date': 1609945556000},5.0,FINISHED,25.0,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1a00a7214ada10005ed'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1609945504000},{'$date': 1609945504000},{'$date': 1609945505000},{'$date': 1609945505000},{'$date': 1609945505000},50.0,{'$date': 1609859104000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5ff5ecb90a7214ada10005f9'},,,{'$date': 1609952440000},{'$date': 1609952440000},,{'$date': 1609952440000},,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
{'$oid': '5ff5d1e20a720f05230005da'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1609945570000},{'$date': 1609945570000},{'$date': 1609945571000},{'$date': 1609945571000},{'$date': 1609945571000},50.0,{'$date': 1609859170000},1.0,FINISHED,1.0,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1e10a720f05230005d9'},5.0,All-receipts receipt bonus,{'$date': 1609945569000},{'$date': 1609945569000},{'$date': 1609945569000},{'$date': 1609945569000},{'$date': 1609945569000},5.0,{'$date': 1608962400000},5.0,FINISHED,49.95,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1fd0a720f05230005de'},5.0,All-receipts receipt bonus,{'$date': 1609945597000},{'$date': 1609945597000},{'$date': 1609945598000},{'$date': 1609945598000},{'$date': 1609945598000},55.0,{'$date': 1609859197000},9.0,FINISHED,89.91,5ff5d15aeb7c7d12096d91a2
